gene,uniprot_id,inheritance
CCDC88C,Q9P219,Autosomal recessive
CCL11,P51671,Autosomal dominant
CCL2,P13500,Autosomal dominant
CCM2,Q9BSQ5,Autosomal dominant
CCN6,O95389,Autosomal recessive
CCND1,P24385,Autosomal dominant
CCND1,P24385,Somatic mutation
CCND2,P30279,Autosomal dominant
CCNF,P41002,Autosomal dominant
CCNK,O75909,Autosomal dominant
CCNO,P22674,Autosomal recessive
CCNQ,Q8N1B3,X-linked dominant
CCT5,P48643,Autosomal recessive
CD151,P48509,Autosomal recessive
CD164,Q04900,Autosomal dominant
CD19,P15391,Autosomal recessive
CD247,P20963,Autosomal recessive
CD27,P26842,Autosomal recessive
CD320,Q9NPF0,Autosomal recessive
CD36,P16671,Autosomal recessive
CD3D,P04234,Autosomal recessive
CD3E,P07766,Autosomal recessive
CD3G,P09693,Autosomal recessive
CD4,P01730,Autosomal recessive
CD40,P25942,Autosomal recessive
CD40LG,P29965,X-linked recessive
CD46,P15529,Autosomal dominant
CD46,P15529,Autosomal recessive
CD55,P08174,Autosomal recessive
CD59,P13987,Autosomal recessive
CD70,P32970,Autosomal recessive
CD79A,P11912,Autosomal recessive
CD79B,P40259,Autosomal recessive
CD81,P60033,Autosomal recessive
CD8A,P01732,Autosomal recessive
CD96,P40200,Autosomal dominant
CDAN1,Q8IWY9,Autosomal recessive
CDC14A,Q9UNH5,Autosomal recessive
CDC20,Q12834,Autosomal recessive
CDC40,O60508,Autosomal recessive
CDC42,P60953,Autosomal dominant
CDC42BPB,Q9Y5S2,Autosomal dominant
CDC45,O75419,Autosomal recessive
CDC6,Q99741,Autosomal recessive
CDC73,Q6P1J9,Autosomal dominant
CDCA7,Q9BWT1,Autosomal recessive
CDH1,P12830,Autosomal dominant
CDH1,P12830,Somatic mutation
CDH11,P55287,Autosomal dominant
CDH11,P55287,Autosomal recessive
CDH15,P55291,Autosomal dominant
CDH2,P19022,Autosomal dominant
CDH2,P19022,Autosomal recessive
CDH23,Q9H251,Autosomal dominant
CDH23,Q9H251,Autosomal recessive
CDH23,Q9H251,Digenic recessive
CDH3,P22223,Autosomal recessive
CDHR1,Q96JP9,Autosomal recessive
CDIN1,Q9Y2V0,Autosomal recessive
CDK10,Q15131,Autosomal recessive
CDK13,Q14004,Autosomal dominant
CDK19,Q9BWU1,Autosomal dominant
CDK4,P11802,Autosomal dominant
CDK5,Q00535,Autosomal recessive
CDK5RAP2,Q96SN8,Autosomal recessive
CDK6,Q00534,Autosomal recessive
CDK8,P49336,Autosomal dominant
CDKL5,O76039,X-linked dominant
CDKN1B,P46527,Autosomal dominant
CDKN1C,P49918,Autosomal dominant
CDKN2A,P42771,Autosomal dominant
CDON,Q4KMG0,Autosomal dominant
CDSN,Q15517,Autosomal dominant
CDSN,Q15517,Autosomal recessive
CDT1,Q9H211,Autosomal recessive
CEACAM16,Q2WEN9,Autosomal dominant
CEACAM16,Q2WEN9,Autosomal recessive
CEBPA,P49715,Autosomal dominant
CEBPA,P49715,Somatic mutation
CEBPE,Q15744,Autosomal recessive
CEBPE,Q15744,Autosomal dominant
CEL,P19835,Autosomal dominant
CELA2A,P08217,Autosomal dominant
CELF2,O95319,Autosomal dominant
CELSR1,Q9NYQ6,Autosomal dominant
CENATAC,Q86UT8,Autosomal recessive
CENPE,Q02224,Autosomal recessive
CENPF,P49454,Autosomal recessive
CENPJ,Q9HC77,Autosomal recessive
CENPT,Q96BT3,Autosomal recessive
CEP104,O60308,Autosomal recessive
CEP112,Q8N8E3,Autosomal recessive
CEP120,Q8N960,Autosomal recessive
CEP135,Q66GS9,Autosomal recessive
CEP152,O94986,Autosomal recessive
CEP164,Q9UPV0,Autosomal recessive
CEP19,Q96LK0,Autosomal recessive
CEP250,Q9BV73,Autosomal recessive
CEP290,O15078,Autosomal recessive
CEP41,Q9BYV8,Autosomal recessive
CEP55,Q53EZ4,Autosomal recessive
CEP57,Q86XR8,Autosomal recessive
CEP63,Q96MT8,Autosomal recessive
CEP78,Q5JTW2,Autosomal recessive
CEP83,Q9Y592,Autosomal recessive
CEP85L,Q5SZL2,Autosomal dominant
CERKL,Q49MI3,Autosomal recessive
CERS1,P27544,Autosomal recessive
CERS3,Q8IU89,Autosomal recessive
CERT1,Q9Y5P4,Autosomal dominant
CES1,P23141,Autosomal dominant
CETP,P11597,Autosomal dominant
CFAP251,Q8TBY9,Autosomal recessive
CFAP298,P57076,Autosomal recessive
CFAP300,Q9BRQ4,Autosomal recessive
CFAP410,O43822,Autosomal recessive
CFAP418,Q96NL8,Autosomal recessive
CFAP43,Q8NDM7,Autosomal dominant
CFAP43,Q8NDM7,Autosomal recessive
CFAP44,Q96MT7,Autosomal recessive
CFAP45,Q9UL16,Autosomal recessive
CFAP47,Q6ZTR5,X-linked recessive
CFAP52,Q8N1V2,Autosomal recessive
CFAP53,Q96M91,Autosomal recessive
CFAP58,Q5T655,Autosomal recessive
CFAP65,Q6ZU64,Autosomal recessive
CFAP69,A5D8W1,Autosomal recessive
CFAP70,Q5T0N1,Autosomal recessive
CFAP74,Q9C0B2,Autosomal recessive
CFAP91,Q7Z4T9,Autosomal recessive
CFB,P00751,Autosomal dominant
CFB,P00751,Autosomal recessive
CFB,P00751,Digenic dominant
CFC1,P0CG37,Autosomal dominant
CFD,P00746,Autosomal recessive
CFH,P08603,Autosomal dominant
CFH,P08603,Autosomal recessive
CFHR1,Q03591,Autosomal dominant
CFHR1,Q03591,Autosomal recessive
CFHR3,Q02985,Autosomal dominant
CFHR3,Q02985,Autosomal recessive
CFHR5,Q9BXR6,Autosomal dominant
CFI,P05156,Autosomal dominant
CFI,P05156,Autosomal recessive
CFL2,Q9Y281,Autosomal recessive
CFP,P27918,X-linked recessive
CFTR,P13569,Autosomal dominant
CFTR,P13569,Autosomal recessive
CHAMP1,Q96JM3,Autosomal dominant
CHAT,P28329,Autosomal recessive
CHCHD10,Q8WYQ3,Autosomal dominant
CHCHD2,Q9Y6H1,Autosomal dominant
CHD1,O14646,Autosomal dominant
CHD2,O14647,Autosomal dominant
CHD3,Q12873,Autosomal dominant
CHD4,Q14839,Autosomal dominant
CHD5,Q8TDI0,Autosomal dominant
CHD7,Q9P2D1,Autosomal dominant
CHD8,Q9HCK8,Autosomal dominant
CHEK2,O96017,Autosomal dominant
CHEK2,O96017,Somatic mutation
CHI3L1,P36222,Autosomal dominant
CHIC2,Q9UKJ5,Autosomal dominant
CHIC2,Q9UKJ5,Somatic mutation
CHIT1,Q13231,Autosomal recessive
CHKA,P35790,Autosomal recessive
CHKB,Q9Y259,Autosomal recessive
CHM,P24386,X-linked
CHMP1A,Q9HD42,Autosomal recessive
CHMP2B,Q9UQN3,Autosomal dominant
CHMP4B,Q9H444,Autosomal dominant
CHN1,P15882,Autosomal dominant
CHP1,Q99653,Autosomal recessive
CHRDL1,Q9BU40,X-linked recessive
CHRM3,P20309,Autosomal recessive
CHRNA1,P02708,Autosomal dominant
CHRNA1,P02708,Autosomal recessive
CHRNA2,Q15822,Autosomal dominant
CHRNA3,P32297,Autosomal recessive
CHRNA4,P43681,Autosomal dominant
CHRNB1,P11230,Autosomal dominant
CHRNB1,P11230,Autosomal recessive
CHRND,Q07001,Autosomal dominant
CHRND,Q07001,Autosomal recessive
CHRNE,Q04844,Autosomal dominant
CHRNE,Q04844,Autosomal recessive
CHRNG,P07510,Autosomal recessive
CHST11,Q9NPF2,Autosomal recessive
CHST14,Q8NCH0,Autosomal recessive
CHST3,Q7LGC8,Autosomal recessive
CHST6,Q9GZX3,Autosomal recessive
CHST8,Q9H2A9,Autosomal recessive
CHSY1,Q86X52,Autosomal recessive
CHUK,O15111,Autosomal recessive
CIB1,Q99828,Autosomal recessive
CIB2,O75838,Autosomal recessive
CIBAR1,A1XBS5,Autosomal recessive
CIC,Q96RK0,Autosomal dominant
CIDEC,Q96AQ7,Autosomal recessive
CIITA,P33076,Autosomal recessive
CILK1,Q9UPZ9,Autosomal dominant
CILK1,Q9UPZ9,Autosomal recessive
CIROP,A0A1B0GTW7,Autosomal recessive
CISD2,Q8N5K1,Autosomal recessive
CIT,O14578,Autosomal recessive
CITED2,Q99967,Autosomal dominant
CKAP2L,Q8IYA6,Autosomal recessive
CLCC1,Q96S66,Autosomal recessive
CLCF1,Q9UBD9,Autosomal recessive
CLCN1,P35523,Autosomal dominant
CLCN1,P35523,Autosomal recessive
CLCN2,P51788,Autosomal dominant
CLCN2,P51788,Autosomal recessive
CLCN3,P51790,Autosomal dominant
CLCN3,P51790,Autosomal recessive
CLCN4,P51793,X-linked dominant
CLCN5,P51795,X-linked recessive
CLCN6,P51797,Autosomal dominant
CLCN7,P51798,Autosomal dominant
CLCN7,P51798,Autosomal recessive
CLCNKA,P51800,Digenic recessive
CLCNKB,P51801,Autosomal recessive
CLCNKB,P51801,Digenic recessive
CLDN1,O95832,Autosomal recessive
CLDN10,P78369,Autosomal recessive
CLDN11,O75508,Autosomal dominant
CLDN14,O95500,Autosomal recessive
CLDN16,Q9Y5I7,Autosomal recessive
CLDN19,Q8N6F1,Autosomal recessive
CLDN2,P57739,X-linked recessive
CLDN9,O95484,Autosomal recessive
CLEC3B,P05452,Autosomal dominant
CLEC7A,Q9BXN2,Autosomal recessive
CLIC2,O15247,X-linked recessive
CLIC5,Q9NZA1,Autosomal recessive
CLMP,Q9H6B4,Autosomal recessive
CLN3,Q13286,Autosomal recessive
CLN5,O75503,Autosomal recessive
CLN6,Q9NWW5,Autosomal recessive
CLN8,Q9UBY8,Autosomal recessive
CLP1,Q92989,Autosomal recessive
CLPB,Q9H078,Autosomal dominant
CLPB,Q9H078,Autosomal recessive
CLPP,Q16740,Autosomal recessive
CLPX,O76031,Autosomal dominant
CLRN1,P58418,Autosomal recessive
CLRN2,A0PK11,Autosomal recessive
CLTC,Q00610,Autosomal dominant
CNBP,P62633,Autosomal dominant
CNGA1,P29973,Autosomal recessive
CNGA3,Q16281,Autosomal recessive
CNGB1,Q14028,Autosomal recessive
CNGB3,Q9NQW8,Autosomal recessive
CNKSR2,Q8WXI2,X-linked
CNNM2,Q9H8M5,Autosomal dominant
CNNM2,Q9H8M5,Autosomal recessive
CNNM4,Q6P4Q7,Autosomal recessive
CNOT1,A5YKK6,Autosomal dominant
CNOT2,Q9NZN8,Autosomal dominant
CNOT3,O75175,Autosomal dominant
CNP,P09543,Autosomal recessive
CNPY3,Q9BT09,Autosomal recessive
CNTN1,Q12860,Autosomal recessive
CNTN2,Q02246,Autosomal recessive
CNTNAP1,P78357,Autosomal recessive
CNTNAP2,Q9UHC6,Autosomal recessive
COA3,Q9Y2R0,Autosomal recessive
COA5,Q86WW8,Autosomal recessive
COA6,Q5JTJ3,Autosomal recessive
COA7,Q96BR5,Autosomal recessive
COA8,Q96IL0,Autosomal recessive
COASY,Q13057,Autosomal recessive
COCH,O43405,Autosomal dominant
COCH,O43405,Autosomal recessive
COG1,Q8WTW3,Autosomal recessive
COG2,Q14746,Autosomal recessive
COG4,Q9H9E3,Autosomal dominant
COG4,Q9H9E3,Autosomal recessive
COG5,Q9UP83,Autosomal recessive
COG6,Q9Y2V7,Autosomal recessive
COG7,P83436,Autosomal recessive
COL10A1,Q03692,Autosomal dominant
COL11A1,P12107,Autosomal dominant
COL11A1,P12107,Autosomal recessive
COL11A2,P13942,Autosomal dominant
COL11A2,P13942,Autosomal recessive
COL12A1,Q99715,Autosomal dominant
COL12A1,Q99715,Autosomal recessive
COL13A1,Q5TAT6,Autosomal recessive
COL17A1,Q9UMD9,Autosomal dominant
COL17A1,Q9UMD9,Autosomal recessive
COL18A1,P39060,Autosomal dominant
COL18A1,P39060,Autosomal recessive
COL1A1,P02452,Autosomal dominant
COL1A2,P08123,Autosomal dominant
COL1A2,P08123,Autosomal recessive
COL25A1,Q9BXS0,Autosomal recessive
COL27A1,Q8IZC6,Autosomal recessive
COL2A1,P02458,Autosomal dominant
COL3A1,P02461,Autosomal dominant
COL3A1,P02461,Autosomal recessive
COL4A1,P02462,Autosomal dominant
COL4A2,P08572,Autosomal dominant
COL4A3,Q01955,Autosomal dominant
COL4A3,Q01955,Autosomal recessive
COL4A4,P53420,Autosomal dominant
COL4A4,P53420,Autosomal recessive
COL4A5,P29400,X-linked dominant
COL4A6,Q14031,X-linked recessive
COL5A1,P20908,Autosomal dominant
COL5A2,P05997,Autosomal dominant
COL6A1,P12109,Autosomal dominant
COL6A1,P12109,Autosomal recessive
COL6A2,P12110,Autosomal dominant
COL6A2,P12110,Autosomal recessive
COL6A3,P12111,Autosomal dominant
COL6A3,P12111,Autosomal recessive
COL7A1,Q02388,Autosomal dominant
COL7A1,Q02388,Autosomal recessive
COL8A2,P25067,Autosomal dominant
COL9A1,P20849,Autosomal dominant
COL9A2,Q14055,Autosomal dominant
COL9A2,Q14055,Autosomal recessive
COL9A3,Q14050,Autosomal dominant
COL9A3,Q14050,Autosomal recessive
COLEC10,Q9Y6Z7,Autosomal recessive
COLEC11,Q9BWP8,Autosomal recessive
COLGALT1,Q8NBJ5,Autosomal recessive
COLQ,Q9Y215,Autosomal recessive
COMP,P49747,Autosomal dominant
COMT,P21964,Autosomal dominant
COPA,P53621,Autosomal dominant
COPB1,P53618,Autosomal recessive
COPB2,P35606,Autosomal dominant
COPB2,P35606,Autosomal recessive
COQ2,Q96H96,Autosomal dominant
COQ2,Q96H96,Autosomal recessive
COQ4,Q9Y3A0,Autosomal recessive
COQ5,Q5HYK3,Autosomal recessive
COQ6,Q9Y2Z9,Autosomal recessive
COQ7,Q99807,Autosomal recessive
COQ8A,Q8NI60,Autosomal recessive
COQ8B,Q96D53,Autosomal recessive
COQ9,O75208,Autosomal recessive
CORO1A,P31146,Autosomal recessive
COX10,Q12887,Autosomal recessive
COX11,Q9Y6N1,Autosomal recessive
COX14,Q96I36,Autosomal recessive
COX15,Q7KZN9,Autosomal recessive
COX16,Q9P0S2,Autosomal recessive
COX20,Q5RI15,Autosomal recessive
COX4I1,P13073,Autosomal recessive
COX4I2,Q96KJ9,Autosomal recessive
COX5A,P20674,Autosomal recessive
COX6A1,P12074,Autosomal recessive
COX6A2,Q02221,Autosomal recessive
COX6B1,P14854,Autosomal recessive
COX7B,P24311,X-linked dominant
COX8A,P10176,Autosomal recessive
CP,P00450,Autosomal recessive
CPA6,Q8N4T0,Autosomal dominant
CPA6,Q8N4T0,Autosomal recessive
CPAMD8,Q8IZJ3,Autosomal recessive
CPE,P16870,Autosomal recessive
CPLANE1,Q9H799,Autosomal recessive
CPLX1,O14810,Autosomal recessive
CPN1,P15169,Autosomal recessive
CPOX,P36551,Autosomal dominant
CPOX,P36551,Autosomal recessive
CPS1,P31327,Autosomal recessive
CPSF1,Q10570,Autosomal dominant
CPSF3,Q9UKF6,Autosomal recessive
CPT1A,P50416,Autosomal recessive
CPT1C,Q8TCG5,Autosomal dominant
CPT2,P23786,Autosomal dominant
CPT2,P23786,Autosomal recessive
CR2,P20023,Autosomal recessive
CRADD,P78560,Autosomal recessive
CRAT,P43155,Autosomal recessive
CRB1,P82279,Autosomal dominant
CRB1,P82279,Autosomal recessive
CRB2,Q5IJ48,Autosomal recessive
CRBN,Q96SW2,Autosomal recessive
CREB3L1,Q96BA8,Autosomal recessive
CREB3L3,Q68CJ9,Autosomal dominant
CREBBP,Q92793,Autosomal dominant
CRELD1,Q96HD1,Autosomal dominant
CRIPT,Q9P021,Autosomal recessive
CRLF1,O75462,Autosomal recessive
CRLS1,Q9UJA2,Autosomal recessive
CRPPA,A4D126,Autosomal recessive
CRTAP,O75718,Autosomal recessive
CRX,O43186,Autosomal dominant
CRY1,Q16526,Autosomal dominant
CRYAA,P02489,Autosomal dominant
CRYAA,P02489,Autosomal recessive
CRYAB,P02511,Autosomal dominant
CRYAB,P02511,Autosomal recessive
CRYBA1,P05813,Autosomal dominant
CRYBA2,P53672,Autosomal dominant
CRYBB1,P53674,Autosomal dominant
CRYBB1,P53674,Autosomal recessive
CRYBB2,P43320,Autosomal dominant
CRYBB3,P26998,Autosomal dominant
CRYBB3,P26998,Autosomal recessive
CRYGB,P07316,Autosomal dominant
CRYGC,P07315,Autosomal dominant
CRYGD,P07320,Autosomal dominant
CRYGS,P22914,Autosomal dominant
CRYM,Q14894,Autosomal dominant
CSF1R,P07333,Autosomal dominant
CSF1R,P07333,Autosomal recessive
CSF2RB,P32927,Autosomal recessive
CSF3R,Q99062,Autosomal dominant
CSF3R,Q99062,Autosomal recessive
CSGALNACT1,Q8TDX6,Autosomal recessive
CSNK1D,P48730,Autosomal dominant
CSNK2A1,P68400,Autosomal dominant
CSNK2B,P67870,Autosomal dominant
CSPP1,Q1MSJ5,Autosomal recessive
CSRP3,P50461,Autosomal dominant
CST3,P01034,Autosomal dominant
CST6,Q15828,Autosomal recessive
CSTA,P01040,Autosomal recessive
CSTB,P04080,Autosomal recessive
CTBP1,Q13363,Autosomal dominant
CTC1,Q2NKJ3,Autosomal recessive
CTCF,P49711,Autosomal dominant
CTDP1,Q9Y5B0,Autosomal recessive
CTH,P32929,Autosomal recessive
CTLA4,P16410,Autosomal dominant
CTNNA1,P35221,Autosomal dominant
CTNNA2,P26232,Autosomal recessive
CTNNA3,Q9UI47,Autosomal dominant
CTNNB1,P35222,Autosomal dominant
CTNNBL1,Q8WYA6,Autosomal recessive
CTNND1,O60716,Autosomal dominant
CTNS,O60931,Autosomal recessive
CTPS1,P17812,Autosomal recessive
CTRC,Q99895,Autosomal dominant
CTSA,P10619,Autosomal recessive
CTSB,P07858,Autosomal dominant
CTSC,P53634,Autosomal recessive
CTSD,P07339,Autosomal recessive
CTSF,Q9UBX1,Autosomal recessive
CTSK,P43235,Autosomal recessive
CTU2,Q2VPK5,Autosomal recessive
CUBN,O60494,Autosomal recessive
CUL3,Q13618,Autosomal dominant
CUL4B,Q13620,X-linked recessive
CUL7,Q14999,Autosomal recessive
CUX1,P39880,Autosomal dominant
CUX2,O14529,Autosomal dominant
CWC27,Q6UX04,Autosomal recessive
CWF19L1,Q69YN2,Autosomal recessive
CXCR2,P25025,Autosomal recessive
CXCR4,P61073,Autosomal dominant
CYB561,P49447,Autosomal recessive
CYB5A,P00167,Autosomal recessive
CYB5R3,P00387,Autosomal recessive
CYBA,P13498,Autosomal recessive
CYBB,P04839,X-linked recessive
CYBC1,Q9BQA9,Autosomal recessive
CYC1,P08574,Autosomal recessive
CYCS,P99999,Autosomal dominant
CYFIP2,Q96F07,Autosomal dominant
CYLD,Q9NQC7,Autosomal dominant
CYP11B1,P15538,Autosomal dominant
CYP11B1,P15538,Autosomal recessive
CYP11B2,P19099,Autosomal recessive
CYP17A1,P05093,Autosomal recessive
CYP19A1,P11511,Autosomal dominant
CYP1B1,Q16678,Autosomal recessive
CYP21A2,P08686,Autosomal recessive
CYP24A1,Q07973,Autosomal recessive
CYP26C1,Q6V0L0,Autosomal recessive
CYP27A1,Q02318,Autosomal recessive
CYP27B1,O15528,Autosomal recessive
CYP2A6,P11509,Autosomal dominant
CYP2A6,P11509,Somatic mutation
CYP2C19,P33261,Autosomal recessive
CYP2C9,P11712,Autosomal dominant
CYP2D6,P10635,Autosomal recessive
CYP2R1,Q6VVX0,Autosomal recessive
CYP2U1,Q7Z449,Autosomal recessive
CYP3A4,P08684,Autosomal dominant
CYP3A5,P20815,Multifactorial
CYP4F22,Q6NT55,Autosomal recessive
CYP4V2,Q6ZWL3,Autosomal recessive
CYP7B1,O75881,Autosomal recessive
D2HGDH,Q8N465,Autosomal recessive
DAAM2,Q86T65,Autosomal recessive
DAB1,O75553,Autosomal dominant
DACT1,Q9NYF0,Autosomal dominant
DAG1,Q14118,Autosomal recessive
DALRD3,Q5D0E6,Autosomal recessive
DAOA,P59103,Autosomal dominant
DARS1,P14868,Autosomal recessive
DARS2,Q6PI48,Autosomal recessive
DBH,P09172,Autosomal recessive
DBR1,Q9UK59,Autosomal recessive
DBT,P11182,Autosomal recessive
DCAF17,Q5H9S7,Autosomal recessive
DCAF8,Q5TAQ9,Autosomal dominant
DCC,P43146,Autosomal dominant
DCC,P43146,Autosomal recessive
DCDC2,Q9UHG0,Autosomal recessive
DCHS1,Q96JQ0,Autosomal dominant
DCHS1,Q96JQ0,Autosomal recessive
DCLRE1B,Q9H816,Autosomal recessive
DCLRE1C,Q96SD1,Autosomal recessive
DCN,P07585,Autosomal dominant
DCPS,Q96C86,Autosomal recessive
DCT,P40126,Autosomal recessive
DCTN1,Q14203,Autosomal dominant
DCTN1,Q14203,Autosomal recessive
DCX,O43602,X-linked
DCXR,Q7Z4W1,Autosomal recessive
DDB1,Q16531,Autosomal dominant
DDB2,Q92466,Autosomal recessive
DDC,P20711,Autosomal recessive
DDHD1,Q8NEL9,Autosomal recessive
DDHD2,O94830,Autosomal recessive
DDOST,P39656,Autosomal recessive
DDR2,Q16832,Autosomal dominant
DDR2,Q16832,Autosomal recessive
DDRGK1,Q96HY6,Autosomal recessive
DDX11,Q96FC9,Autosomal recessive
DDX3X,O00571,X-linked dominant
DDX3X,O00571,X-linked recessive
DDX41,Q9UJV9,Autosomal dominant
DDX59,Q5T1V6,Autosomal recessive
DDX6,P26196,Autosomal dominant
DEAF1,O75398,Autosomal dominant
DEAF1,O75398,Autosomal recessive
DEF6,Q9H4E7,Autosomal recessive
DEGS1,O15121,Autosomal recessive
DENND5A,Q6IQ26,Autosomal recessive
DEPDC5,O75140,Autosomal dominant
DES,P17661,Autosomal dominant
DES,P17661,Autosomal recessive
DGAT1,O75907,Autosomal recessive
DGKE,P52429,Autosomal recessive
DGUOK,Q16854,Autosomal recessive
DHCR24,Q15392,Autosomal recessive
DHCR7,Q9UBM7,Autosomal recessive
DHDDS,Q86SQ9,Autosomal dominant
DHDDS,Q86SQ9,Autosomal recessive
DHFR,P00374,Autosomal recessive
DHH,O43323,Autosomal recessive
DHODH,Q02127,Autosomal recessive
DHPS,P49366,Autosomal recessive
DHTKD1,Q96HY7,Autosomal dominant
DHTKD1,Q96HY7,Autosomal recessive
DHX16,O60231,Autosomal dominant
DHX30,Q7L2E3,Autosomal dominant
DHX37,Q8IY37,Autosomal dominant
DHX37,Q8IY37,Autosomal recessive
DHX38,Q92620,Autosomal recessive
DIABLO,Q9NR28,Autosomal dominant
DIAPH1,O60610,Autosomal dominant
DIAPH1,O60610,Autosomal recessive
DIAPH2,O60879,X-linked dominant
DIAPH3,Q9NSV4,Autosomal dominant
DICER1,Q9UPY3,Autosomal dominant
DIO1,P49895,Autosomal dominant
DIP2B,Q9P265,Autosomal dominant
DIS3L2,Q8IYB7,Autosomal recessive
DKC1,O60832,X-linked recessive
DLAT,P10515,Autosomal recessive
DLD,P09622,Autosomal recessive
DLG3,Q92796,X-linked recessive
DLG4,P78352,Autosomal dominant
DLL1,O00548,Autosomal dominant
DLL3,Q9NYJ7,Autosomal recessive
DLL4,Q9NR61,Autosomal dominant
DLST,P36957,Autosomal dominant
DLX3,O60479,Autosomal dominant
DLX4,Q92988,Autosomal dominant
DLX5,P56178,Autosomal dominant
DLX5,P56178,Autosomal recessive
DMD,P11532,X-linked
DMD,P11532,X-linked recessive
DMGDH,Q9UI17,Autosomal recessive
DMP1,Q13316,Autosomal recessive
DMPK,Q09013,Autosomal dominant
DMXL2,Q8TDJ6,Autosomal dominant
DMXL2,Q8TDJ6,Autosomal recessive
DNA2,P51530,Autosomal dominant
DNA2,P51530,Autosomal recessive
DNAAF1,Q8NEP3,Autosomal recessive
DNAAF11,Q86X45,Autosomal recessive
DNAAF2,Q9NVR5,Autosomal recessive
DNAAF3,Q8N9W5,Autosomal recessive
DNAAF4,Q8WXU2,Autosomal dominant
DNAAF4,Q8WXU2,Autosomal recessive
DNAAF5,Q86Y56,Autosomal recessive
DNAAF6,Q9NQM4,X-linked recessive
DNAH1,Q9P2D7,Autosomal recessive
DNAH10,Q8IVF4,Autosomal recessive
DNAH11,Q96DT5,Autosomal recessive
DNAH17,Q9UFH2,Autosomal recessive
DNAH2,Q9P225,Autosomal recessive
DNAH5,Q8TE73,Autosomal recessive
DNAH8,Q96JB1,Autosomal recessive
DNAH9,Q9NYC9,Autosomal recessive
DNAI1,Q9UI46,Autosomal recessive
DNAI2,Q9GZS0,Autosomal recessive
DNAJB11,Q9UBS4,Autosomal dominant
DNAJB13,P59910,Autosomal recessive
DNAJB2,P25686,Autosomal recessive
DNAJB6,O75190,Autosomal dominant
DNAJC12,Q9UKB3,Autosomal recessive
DNAJC19,Q96DA6,Autosomal recessive
DNAJC21,Q5F1R6,Autosomal recessive
DNAJC3,Q13217,Autosomal recessive
DNAJC30,Q96LL9,Autosomal recessive
DNAJC5,Q9H3Z4,Autosomal dominant
DNAJC6,O75061,Autosomal recessive
DNAL1,Q4LDG9,Autosomal recessive
DNAL4,O96015,Autosomal recessive
DNASE1,P24855,Autosomal dominant
DNASE1L3,Q13609,Autosomal recessive
DNASE2,O00115,Autosomal recessive
DNHD1,Q96M86,Autosomal recessive
DNM1,Q05193,Autosomal dominant
DNM1L,O00429,Autosomal dominant
DNM1L,O00429,Autosomal recessive
DNM2,P50570,Autosomal dominant
DNM2,P50570,Autosomal recessive
DNMBP,Q6XZF7,Autosomal recessive
DNMT1,P26358,Autosomal dominant
DNMT3A,Q9Y6K1,Autosomal dominant
DNMT3B,Q9UBC3,Autosomal recessive
DNMT3B,Q9UBC3,Digenic dominant
DOCK2,Q92608,Autosomal recessive
DOCK3,Q8IZD9,Autosomal recessive
DOCK6,Q96HP0,Autosomal recessive
DOCK7,Q96N67,Autosomal recessive
DOCK8,Q8NF50,Autosomal recessive
DOHH,Q9BU89,Autosomal recessive
DOK7,Q18PE1,Autosomal recessive
DOLK,Q9UPQ8,Autosomal recessive
DONSON,Q9NYP3,Autosomal recessive
DPAGT1,Q9H3H5,Autosomal recessive
DPF2,Q92785,Autosomal dominant
DPH1,Q9BZG8,Autosomal recessive
DPH2,Q9BQC3,Autosomal recessive
DPH5,Q9H2P9,Autosomal recessive
DPM1,O60762,Autosomal recessive
DPM2,O94777,Autosomal recessive
DPM3,Q9P2X0,Autosomal recessive
DPP6,P42658,Autosomal dominant
DPY19L2,Q6NUT2,Autosomal recessive
DPYD,Q12882,Autosomal recessive
DPYS,Q14117,Autosomal recessive
DPYSL5,Q9BPU6,Autosomal dominant
DRAM2,Q6UX65,Autosomal recessive
DRC1,Q96MC2,Autosomal recessive
DRD3,P35462,Autosomal dominant
DRD4,P21917,Autosomal dominant
DRD5,P21918,Autosomal dominant
DSC2,Q02487,Autosomal dominant
DSC2,Q02487,Autosomal recessive
DSC3,Q14574,Autosomal recessive
DSE,Q9UL01,Autosomal recessive
DSG1,Q02413,Autosomal dominant
DSG1,Q02413,Autosomal recessive
DSG2,Q14126,Autosomal dominant
DSG2,Q14126,Autosomal recessive
DSG3,P32926,Autosomal recessive
DSG4,Q86SJ6,Autosomal recessive
DSP,P15924,Autosomal dominant
DSP,P15924,Autosomal recessive
DSPP,Q9NZW4,Autosomal dominant
DST,Q03001,Autosomal recessive
DSTYK,Q6XUX3,Autosomal dominant
DSTYK,Q6XUX3,Autosomal recessive
DTNA,Q9Y4J8,Autosomal dominant
DTNBP1,Q96EV8,Autosomal recessive
DTYMK,P23919,Autosomal recessive
DUOX2,Q9NRD8,Autosomal recessive
DUOXA2,Q1HG44,Autosomal recessive
DUSP6,Q16828,Autosomal dominant
DUT,P33316,Autosomal recessive
DVL1,O14640,Autosomal dominant
DVL3,Q92997,Autosomal dominant
DYM,Q7RTS9,Autosomal recessive
DYNC1H1,Q14204,Autosomal dominant
DYNC1I2,Q13409,Autosomal recessive
DYNC2H1,Q8NCM8,Autosomal recessive
DYNC2H1,Q8NCM8,Digenic recessive
DYNC2I1,Q8WVS4,Autosomal recessive
DYNC2I2,Q96EX3,Autosomal recessive
DYNC2LI1,Q8TCX1,Autosomal recessive
